ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	1830	2	0	0.000000	31.397268	28.782514	0.000000	0.000000	0	512	0
2	25	1	1	0.000000	23.120000	23.120000	0.000000	0.000000	0	22	0
3	6	1	2	0.000000	85.500000	79.166667	0.000000	0.000000	0	41	0
4	4	1	2	0.000000	131.750000	92.750000	0.000000	0.000000	0	63	0
5	4	2	1	0.000000	96.750000	79.250000	0.000000	0.000000	0	46	0
6	9	2	1	0.000000	71.333333	53.666667	0.000000	0.000000	0	40	0
7	2	2	1	0.000000	55.500000	55.500000	0.000000	0.000000	0	34	0
8	8	1	1	0.000000	39.375000	39.375000	0.000000	0.000000	0	24	0
9	2	1	2	0.000000	59.000000	59.000000	0.000000	0.000000	0	30	0
10	106	0	0	0.000000	45.754717	38.405660	0.000000	0.000000	0	52	0
11	3186	1	1	0.000000	30.885750	28.904269	0.000000	0.000000	0	835	0
12	73	2	2	0.000000	55.767123	55.767123	0.000000	0.000000	0	77	0
13	31	1	1	0.000000	62.032258	62.032258	0.000000	0.000000	0	52	0
14	11	2	2	0.000000	135.272727	97.272727	0.000000	0.000000	0	74	0
15	11	2	2	0.000000	75.181818	50.181818	0.000000	0.000000	0	46	0
16	27	2	1	0.000000	39.111111	38.592593	0.000000	0.000000	0	43	0
17	1	0	0	0.000000	39.000000	38.000000	0.000000	0.000000	0	23	0
18	4	1	1	0.000000	23.750000	23.750000	0.000000	0.000000	0	12	0
19	2	2	2	0.000000	38.500000	38.500000	0.000000	0.000000	0	19	0
20	42	1	1	0.000000	16.833333	16.833333	0.000000	0.000000	0	19	0
21	11	1	1	0.000000	43.454545	22.181818	0.000000	0.000000	0	29	0
22	9	1	2	0.000000	94.000000	81.000000	0.000000	0.000000	0	57	0
23	184	0	0	0.000000	36.896739	32.369565	0.000000	0.000000	0	92	0
24	356	1	1	0.000000	24.848315	24.691011	0.000000	0.000000	0	116	0
25	36	0	0	0.000000	43.722222	41.222222	0.000000	0.000000	0	38	0
26	56	0	0	0.000000	51.428571	50.375000	0.000000	0.000000	0	52	0
27	42	1	1	0.000000	12.857143	12.857143	0.000000	0.000000	0	10	0
28	1	1	3	0.000000	224.000000	224.000000	0.000000	0.000000	0	102	0
29	1	1	2	0.000000	237.000000	237.000000	0.000000	0.000000	0	106	0
30	7	2	2	0.000000	276.142857	213.285714	0.000000	0.000000	0	134	0
31	3	2	2	0.000000	314.333333	113.000000	0.000000	0.000000	0	156	0
32	1	1	1	0.000000	296.000000	51.000000	0.000000	0.000000	0	138	0
33	14	2	2	0.000000	301.928571	150.285714	0.000000	0.000000	0	167	0
34	30	2	2	0.000000	203.300000	203.266667	0.000000	0.000000	0	120	0
35	3	2	1	0.000000	89.000000	89.000000	0.000000	0.000000	0	42	0
36	3	1	1	0.000000	77.666667	77.666667	0.000000	0.000000	0	36	0
37	6	1	1	0.000000	117.166667	117.166667	0.000000	0.000000	0	64	0
38	3	1	2	0.000000	283.000000	95.666667	0.000000	0.000000	0	137	0
39	174	2	2	0.000000	72.821839	71.660920	0.000000	0.000000	0	153	0
40	15	0	0	0.000000	42.600000	29.933333	0.000000	0.000000	0	23	0
41	3	3	1	0.000000	237.333333	202.666667	0.000000	0.000000	0	104	0
